"","Address","Title","元.月","坪數","現況","押金","最短租期","樓層","型態","開伙","養寵物","可遷入日","車位","管理費","身份要求","社區","格局","法定用途","車位種類","車位類型","朝向","性別要求","隔間材料","權狀坪數","格局.1"
"1","台北市南港區重陽路","近南港軟體捷運~溫馨裝潢~超大露台","33000","26.23坪","整層住家","二個月","一年","2F/12F","電梯大樓","可以","不可以","隨時","機械式停車位，費用另計","3522元/月","學生、上班族、家庭","依現場社區名稱","2房1廳1衛1陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"2","台北市南港區重陽路","南港軟體園區新成屋3房~首泰大方","45000","49坪","整層住家","二個月","兩年","13F/15F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","5500元/月","學生、上班族、家庭","首泰大方","3房2廳2衛1陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"3","台北市南港區重陽路","南軟園區-三鐵7分鐘-頂樓河景大三房","48000","47坪","整層住家","二個月","一年","18F/18F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","2970元/月","學生、上班族、家庭","遠見名門","3房2廳3衛1陽台",NA,NA,NA,"坐西南朝東北",NA,NA,NA,NA
"4","台北市南港區重陽路","中信南軟捷運旁高樓景觀全新三房車位","50000","49坪","整層住家","二個月","兩年","15F/15F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","5400元/月","學生、上班族、家庭","首泰大方","3房2廳2衛1陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"5","台北市中山區雙城街25巷","近中山國小捷運~全新裝潢新屋~近中山北路","80000","41坪","整層住家","二個月","一年","11F/13F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","4920元/月","學生、上班族、家庭","依現場社區名稱","3房2廳2衛2陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"6","台北市中正區水源路","古亭捷運大3房/日本語可","59000","48坪","整層住家","二個月","一年","11F/13F","電梯大樓","可以","可以","隨時","無","6000元/月","學生、上班族、家庭",NA,"3房2廳2衛1陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"7","台北市大同區承德路三段","圓山2分陽光灑落美裝宅@日本語可1LDK","34000","21.8坪","整層住家","二個月","一年","3F/12F","電梯大樓","可以","可以","隨時","無","2500元/月","學生、上班族、家庭","京美術","1房1廳1衛1陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"8","台北市士林區永公路500巷68號","文大學生清境大套房","6000","8坪","獨立套房","二個月","一年","整棟/4F","公寓","不可以","不可以","隨時","無","--",NA,NA,NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"9","台北市內湖區金湖路","金湖路近AIT附家具一房一廳近捷運","26800","18坪","整層住家","二個月","一年","5F/10F","電梯大樓","可以","不可以","隨時","無","1800元/月","上班族、家庭","長虹第凡內","1房1廳1衛2陽台",NA,NA,NA,"坐北朝南",NA,NA,NA,NA
"10","台北市內湖區金湖路","拓真鋼骨建築*大3房附車位*近捷運葫洲站","55000","53.67坪","整層住家","二個月","一年","3F/12F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","6500元/月",NA,"拓真","3房2廳2衛2陽台",NA,NA,NA,"坐北朝南",NA,NA,NA,NA
"11","台北市大安區永康街","永康靜巷一樓住宅","70000","26.24坪","整層住家","面議","一年","1F/4F","公寓","不可以","不可以","隨時","無","--","學生、上班族、家庭","永康靜巷一樓住宅","2房1廳1衛0陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"12","台北市大安區永康街","永康街東門捷運電梯2房","50000","12坪","整層住家","二個月","一年","7F/7F","電梯大樓","可以","不可以","隨時","無","3334元/月","學生、上班族、家庭","依現場標示","2房2廳1衛1陽台","住家用",NA,NA,"坐西朝東",NA,NA,"21.8坪",NA
"13","台北市大安區永康街","新生國小華廈","40000","13.66坪","整層住家","二個月","一年","7F/7F","電梯大樓","可以","可以","隨時","無","3000元/月","學生、上班族、家庭","新生國小華廈","2房2廳1衛0陽台","住家用",NA,NA,"坐西朝東",NA,NA,NA,NA
"14","台北市大安區永康街","東門捷運。永康街露臺戶。精美三房","45000","29.73坪","整層住家","二個月","一年","6F/12F","電梯大樓","可以","不可以","隨時","無","4457元/月",NA,"永康81","3房2廳1衛1陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"15","台北市大安區永康街","永康觀光商圈方便.雅緻.寧靜住家","25000","12坪","獨立套房","面議","一年","5F/7F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭",NA,NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"16","台北市大安區永康街","★永康觀光商圈方便.雅緻.寧靜住家★","24500","12坪","獨立套房","二個月","一年","4F/7F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭",NA,NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"17","台北市中山區林森北路538號","歐夏蕾高樓電梯美寓","28000","14.5坪","獨立套房","二個月","一年","9F/14F","公寓","可以","不可以","隨時","無","1460元/月","學生、上班族、家庭","歐夏蕾","樓中樓",NA,NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"18","台北市士林區忠誠路一段","忠誠林蔭大道上經典四房車位低公設優選","58000","68.25坪","整層住家","二個月","一年","7F/12F","電梯大樓","可以","可以","隨時","平面式停車位，費用另計","4800元/月",NA,"忠誠鉅星","4房2廳2衛3陽台","住家用",NA,NA,"坐東南朝西北",NA,NA,NA,NA
"19","台北市文山區興隆路三段207巷","萬芳醫院捷運站學生、上班族套房","8000","6坪","分租套房","二個月","一年","4F/5F","公寓","可以","不可以","隨時","無",NA,"學生、上班族",NA,"有陽臺",NA,NA,NA,NA,"女生","水泥磚牆",NA,NA
"20","台北市文山區興隆路三段207巷","興隆社區獨立套房出租","10000","7坪","獨立套房","面議","一年","2F/5F","公寓","不可以","不可以","隨時","無","--",NA,"興隆社區",NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"21","台北市大安區光復南路676巷","精緻套房，近世貿、通化夜市、捷運安和站","11000","6坪","獨立套房","二個月","一年","2F/4F","公寓","不可以","不可以","隨時","無","無","學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"22","台北市中正區懷寧街","僅剩一席-台北火車站週邊最優惠停車地點","3300","3.79坪","車位","一個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"富比士",NA,NA,"室內地下","機械式",NA,NA,NA,NA,NA
"23","台北市信義區松勤街","<U+266C>信義區101捷運站<U+2661>高樓層美套房<U+2661>浴缸","35000","14.87坪","獨立套房","二個月","一年","18F/19F","電梯大樓","可以","不可以","隨時","無","2300元/月","學生、上班族、家庭","<U+266C>信義區101捷運站",NA,"集合住宅",NA,NA,NA,"男女生皆可",NA,NA,NA
"24","台北市信義區松勤街","<U+265B>維多利亞捷運<U+265B>有管理、冷氣衛浴更新","60000","51.79坪","整層住家","面議","一年","4F/7F","公寓","可以","可以","隨時","無","--",NA,NA,"3房2廳2衛2陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"25","台北市信義區松勤街","捷運101/世貿站。新世界高樓層稀有釋出","37800","15.16坪","整層住家","二個月","一年","18F/19F","電梯大樓","可以","不可以","隨時","無","2274元/月",NA,"新世界","1房1廳1衛0陽台","集合住宅",NA,NA,NA,NA,NA,NA,NA
"26","台北市信義區松勤街","**世貿101旁優質管理無邊際泳池邸**","55000","19.51坪","整層住家","二個月","一年","16F/19F","電梯大樓","可以","可以","隨時","機械式停車位，費用另計","2960元/月","學生、上班族、家庭","新世界","2房1廳1衛0陽台","依使照",NA,NA,NA,NA,NA,NA,NA
"27","台北市信義區松勤街","台北市最受注目地段","30000","15坪","整層住家","二個月","一年","14F/19F","電梯大樓","可以","不可以","隨時","無","2303元/月","學生、上班族、家庭","信義新世界","1房1廳1衛0陽台","住家用",NA,NA,NA,NA,NA,NA,NA
"28","台北市信義區松勤街","1+1高樓層●世貿101站●","55000","19.71坪","獨立套房","二個月","一年","16F/19F","電梯大樓","可以","不可以","隨時","平面式停車位，費用另計","2960元/月","學生、上班族、家庭","松勤街",NA,"住家用",NA,NA,"坐北朝南","男女生皆可",NA,NA,NA
"29","台北市信義區松勤街","地表最強小豪宅","35000","15坪","獨立套房","二個月","一年","18F/20F","電梯大樓","可以","不可以","隨時","無","--","學生、上班族、家庭","松勤街",NA,"住家用",NA,NA,NA,"男女生皆可",NA,NA,NA
"30","台北市中正區濟南路二段","**台大醫院商區黃金店面**","150000","40.57坪","其他","450,000","一年","1F/7F","店面（店鋪）","可以","不可以","隨時","無","--","學生、上班族、家庭","依現場","開放式格局","依使用執照",NA,NA,"坐西北朝東南",NA,NA,NA,NA
"31","台北市中正區衡陽路108號","~遙控器對號停車位出租~含管理費","4000","2.86坪","車位","二個月","一年",NA,NA,NA,NA,NA,NA,NA,NA,"衡陽108",NA,NA,"室內地下","機械式",NA,NA,NA,NA,NA
"32","台北市松山區民生東路五段","民生社區*圓環電梯宅*~21世紀~高<U+8AB1>蔆","32000","33坪","整層住家","二個月","一年","3F/15F","電梯大樓","可以","不可以","隨時","無","2400元/月","學生、上班族、家庭","民生社區","2房2廳1衛1陽台","住家用",NA,NA,NA,NA,NA,"39坪",NA
"33","台北市松山區民生東路五段","民生景觀3房車位","55000","42.41坪","整層住家","80,000","一年","13F/16F","電梯大樓","可以","不可以","隨時","平面式停車位，已含租金內","2500元/月","上班族、家庭","海華廣場大廈","3房2廳2衛0陽台","住家用",NA,NA,"坐南朝北",NA,NA,NA,NA
"34","台北市北投區致遠一路一段46巷","明德捷運新貴套房","11000","8坪","分租套房","二個月","一年","2F/5F","公寓","不可以","可以","隨時","無",NA,"學生、上班族、家庭",NA,NA,"住家用",NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
"35","台北市內湖區安康路","近南港軟體園區哈拉影城三總瑞光路","9800","5坪","獨立套房","二個月","一年","2F/3F","公寓","不可以","不可以","隨時","無","--","學生、上班族、家庭",NA,NA,NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"36","台北市內湖區安康路","近南港軟體園區哈拉影城三總瑞光路","6800","5坪","獨立套房","二個月","一年","3F/3F","公寓","不可以","不可以","隨時","無","--","學生、上班族",NA,"有陽臺",NA,NA,NA,NA,"男女生皆可",NA,NA,NA
"37","台北市內湖區安康路","東湖安康路分租套房(可短期)","7500","5坪","分租套房","二個月","半年","2F/5F","公寓","可以","可以","隨時","無",NA,NA,NA,"開放式格局",NA,NA,NA,NA,"男女生皆可","水泥磚牆",NA,NA
